srclang,trglang,segmentId,system1Id,system2Id,system1rank,system2rank
eng,deu,643,TALP-UPC.4830,C-3MA.4958,1,1
eng,deu,643,TALP-UPC.4830,SYSTRAN.4846,1,1
eng,deu,643,TALP-UPC.4830,LIUM-NMT.4733,2,1
eng,deu,643,TALP-UPC.4830,KIT.4951,1,1
eng,deu,643,TALP-UPC.4830,RWTH-nmt-ensemble.4920,1,1
eng,deu,643,TALP-UPC.4830,uedin-nmt.4723,1,1
eng,deu,643,C-3MA.4958,SYSTRAN.4846,2,1
eng,deu,643,C-3MA.4958,LIUM-NMT.4733,2,1
eng,deu,643,C-3MA.4958,KIT.4951,1,1
eng,deu,643,C-3MA.4958,RWTH-nmt-ensemble.4920,1,1
eng,deu,643,C-3MA.4958,uedin-nmt.4723,2,1
eng,deu,643,SYSTRAN.4846,LIUM-NMT.4733,1,1
eng,deu,643,SYSTRAN.4846,KIT.4951,1,1
eng,deu,643,SYSTRAN.4846,RWTH-nmt-ensemble.4920,1,1
eng,deu,643,SYSTRAN.4846,uedin-nmt.4723,1,1
eng,deu,643,LIUM-NMT.4733,KIT.4951,1,2
eng,deu,643,LIUM-NMT.4733,RWTH-nmt-ensemble.4920,1,2
eng,deu,643,LIUM-NMT.4733,uedin-nmt.4723,1,1
eng,deu,643,KIT.4951,RWTH-nmt-ensemble.4920,1,1
eng,deu,643,KIT.4951,uedin-nmt.4723,1,1
eng,deu,643,RWTH-nmt-ensemble.4920,uedin-nmt.4723,1,1
eng,deu,344,TALP-UPC.4830,online-F.0,1,1
eng,deu,344,TALP-UPC.4830,C-3MA.4958,1,1
eng,deu,344,TALP-UPC.4830,SYSTRAN.4846,1,1
eng,deu,344,TALP-UPC.4830,online-A.0,1,1
eng,deu,344,TALP-UPC.4830,LIUM-NMT.4733,1,1
eng,deu,344,TALP-UPC.4830,online-B.0,1,1
eng,deu,344,TALP-UPC.4830,KIT.4951,1,1
eng,deu,344,TALP-UPC.4830,online-G.0,1,1
eng,deu,344,TALP-UPC.4830,RWTH-nmt-ensemble.4920,2,1
eng,deu,344,online-F.0,C-3MA.4958,1,1
eng,deu,344,online-F.0,SYSTRAN.4846,1,1
eng,deu,344,online-F.0,online-A.0,1,1
eng,deu,344,online-F.0,LIUM-NMT.4733,2,1
eng,deu,344,online-F.0,online-B.0,1,1
eng,deu,344,online-F.0,KIT.4951,1,1
eng,deu,344,online-F.0,online-G.0,1,1
eng,deu,344,online-F.0,RWTH-nmt-ensemble.4920,2,1
eng,deu,344,C-3MA.4958,SYSTRAN.4846,1,1
eng,deu,344,C-3MA.4958,online-A.0,1,1
eng,deu,344,C-3MA.4958,LIUM-NMT.4733,1,1
eng,deu,344,C-3MA.4958,online-B.0,1,1
eng,deu,344,C-3MA.4958,KIT.4951,1,1
